Created,Method,UriStem,UriQuery,IP,User,URL
2021-03-05 00:00:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:00:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:00:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:00:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:00:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:00:16,GET,/,-,172.17.100.110,-,-
2021-03-05 00:00:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:00:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:00:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:00:46,GET,/,-,172.17.100.110,-,-
2021-03-05 00:00:46,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:01:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:01:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:01:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:01:03,GET,/Account/Poke,token=1614902463150,172.17.100.110,reda.gedeikiene,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135752
2021-03-05 00:01:10,GET,/,-,172.17.100.110,-,-
2021-03-05 00:01:10,GET,/,-,172.17.100.110,-,-
2021-03-05 00:01:10,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:01:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:01:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:01:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:01:46,GET,/,-,172.17.100.110,-,-
2021-03-05 00:01:46,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:01:57,GET,/Account/Poke,token=1614902516292,172.17.100.110,reda.gedeikiene,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135842
2021-03-05 00:02:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:02:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:02:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:02:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:02:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:02:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:02:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:02:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:02:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:02:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:02:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:03:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:03:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:03:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:03:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:03:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:03:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:03:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:03:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:03:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:03:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:04:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:04:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:04:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:04:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:04:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:04:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:04:17,GET,/Account/Poke,token=1614902656772,172.17.100.110,john.jackson+,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135843
2021-03-05 00:04:19,GET,/,-,172.17.100.110,-,-
2021-03-05 00:04:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:04:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:04:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:04:46,GET,/,-,172.17.100.110,-,-
2021-03-05 00:04:46,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:04:50,GET,/Account/Login,ReturnUrl=%2fServices%2fLoanSet%2fCreate,172.17.100.110,-,-
2021-03-05 00:05:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:05:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:05:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:05:12,GET,/,-,172.17.100.110,-,-
2021-03-05 00:05:12,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:05:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:05:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:05:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:05:44,GET,/,-,172.17.100.110,-,-
2021-03-05 00:05:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:05:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:06:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:06:01,GET,/,-,172.17.0.197,-,-
2021-03-05 00:06:01,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:06:03,GET,/Account/Poke,token=1614902763154,172.17.100.110,reda.gedeikiene,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135752
2021-03-05 00:06:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:06:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:06:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:06:26,GET,/,-,172.17.100.154,-,-
